Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Status
brazil-1988-brazil-home-size-s-xxl,1988 Brazil Home (Size S-XXL),<p>Camiseta 1988 Brazil Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL--1988---S,25,109958.00,153941.00,,active
brazil-1988-brazil-home-size-s-xxl,,,,,,,Size,M,BRAZIL--1988---M,29,109958.00,153941.00,,active
brazil-1988-brazil-home-size-s-xxl,,,,,,,Size,L,BRAZIL--1988---L,18,109958.00,153941.00,,active
brazil-1988-brazil-home-size-s-xxl,,,,,,,Size,XL,BRAZIL--1988---XL,15,109958.00,153941.00,,active
brazil-1988-brazil-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL--1988---XXL,14,109958.00,153941.00,,active
brazil-1998-brazil-away-size-s-xxl,1998 Brazil Away (Size S-XXL),<p>Camiseta 1998 Brazil Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:retro",TRUE,Size,S,BRAZIL--1998---S,15,95457.00,133639.00,,active
brazil-1998-brazil-away-size-s-xxl,,,,,,,Size,M,BRAZIL--1998---M,26,95457.00,133639.00,,active
brazil-1998-brazil-away-size-s-xxl,,,,,,,Size,L,BRAZIL--1998---L,25,95457.00,133639.00,,active
brazil-1998-brazil-away-size-s-xxl,,,,,,,Size,XL,BRAZIL--1998---XL,13,95457.00,133639.00,,active
brazil-1998-brazil-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL--1998---XXL,22,95457.00,133639.00,,active
brazil-2002-brazil-away-size-s-xxl,2002 Brazil Away (Size S-XXL),<p>Camiseta 2002 Brazil Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:retro",TRUE,Size,S,BRAZIL--2002---S,17,88323.00,123652.00,,active
brazil-2002-brazil-away-size-s-xxl,,,,,,,Size,M,BRAZIL--2002---M,16,88323.00,123652.00,,active
brazil-2002-brazil-away-size-s-xxl,,,,,,,Size,L,BRAZIL--2002---L,29,88323.00,123652.00,,active
brazil-2002-brazil-away-size-s-xxl,,,,,,,Size,XL,BRAZIL--2002---XL,24,88323.00,123652.00,,active
brazil-2002-brazil-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2002---XXL,22,88323.00,123652.00,,active
brazil-2002-brazil-home-size-s-xxl,2002 Brazil Home (Size S-XXL),<p>Camiseta 2002 Brazil Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL--2002---S,22,93801.00,131321.00,,active
brazil-2002-brazil-home-size-s-xxl,,,,,,,Size,M,BRAZIL--2002---M,24,93801.00,131321.00,,active
brazil-2002-brazil-home-size-s-xxl,,,,,,,Size,L,BRAZIL--2002---L,17,93801.00,131321.00,,active
brazil-2002-brazil-home-size-s-xxl,,,,,,,Size,XL,BRAZIL--2002---XL,15,93801.00,131321.00,,active
brazil-2002-brazil-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2002---XXL,23,93801.00,131321.00,,active
brazil-2006-brazil-away-size-s-xxl,2006 Brazil Away (Size S-XXL),<p>Camiseta 2006 Brazil Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:retro",TRUE,Size,S,BRAZIL--2006---S,15,88302.00,123622.00,,active
brazil-2006-brazil-away-size-s-xxl,,,,,,,Size,M,BRAZIL--2006---M,18,88302.00,123622.00,,active
brazil-2006-brazil-away-size-s-xxl,,,,,,,Size,L,BRAZIL--2006---L,13,88302.00,123622.00,,active
brazil-2006-brazil-away-size-s-xxl,,,,,,,Size,XL,BRAZIL--2006---XL,16,88302.00,123622.00,,active
brazil-2006-brazil-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2006---XXL,24,88302.00,123622.00,,active
brazil-2019-brazil-away-size-s-xxl,2019 Brazil Away (Size S-XXL),<p>Camiseta 2019 Brazil Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away",TRUE,Size,S,BRAZIL--2019---S,16,76142.00,106598.00,,active
brazil-2019-brazil-away-size-s-xxl,,,,,,,Size,M,BRAZIL--2019---M,12,76142.00,106598.00,,active
brazil-2019-brazil-away-size-s-xxl,,,,,,,Size,L,BRAZIL--2019---L,13,76142.00,106598.00,,active
brazil-2019-brazil-away-size-s-xxl,,,,,,,Size,XL,BRAZIL--2019---XL,23,76142.00,106598.00,,active
brazil-2019-brazil-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2019---XXL,22,76142.00,106598.00,,active
